source_dataset,station_id,latitude,longitude,height,topo_free_disturbance,G_ref
AP,TENE031,28.2835,-16.755,1608.8179291000365,255.3012329306941,255.3012329306941
AP,TENE032,28.2919,-16.7514,1560.5996110667113,256.0458678230965,256.0458678230965
AP,TENE033,28.2882,-16.7841,1315.4672487922974,257.9514727380102,257.9514727380102
AP,TENE034,28.2991,-16.7863,1273.2903069941408,258.0358002971835,258.0358002971835
AP,TENE035,28.3026,-16.7914,1233.5085143432009,259.3414663133785,259.3414663133785
AP,TENE036,28.312,-16.7886,1220.268633414917,258.0465601744162,258.0465601744162
AP,TENE037,28.311,-16.7813,1267.253742762451,255.7291211789756,255.7291211789756
AP,TENE038,28.3016,-16.7808,1360.334441133545,256.62231426009964,256.62231426009964
AP,TENE039,28.2987,-16.7733,1396.9355382207948,256.0306048662197,256.0306048662197
AP,TENE040,28.2517,-16.7478,1544.0359656404726,264.37564245212707,264.37564245212707
AP,TENE041,28.3224,-16.8015,1106.835937375183,258.7956102471263,258.7956102471263
AP,TENE042,28.3301,-16.8028,1028.0454472051392,257.5343462810336,257.5343462810336
AP,TENE043,28.3228,-16.7974,1169.9743700937502,257.00944062914624,257.00944062914624
AP,TENE044,28.3211,-16.7852,1233.619894048523,253.69562599447715,253.69562599447715
AP,TENE045,28.3044,-16.815,1002.1164455871582,262.0341725714588,262.0341725714588
AP,TENE046,28.3079,-16.8011,1074.2601974131012,261.8449816274722,261.8449816274722
AP,TENE047,28.3113,-16.8098,1186.7371176924134,262.4922376928787,262.4922376928787
AP,TENE048,28.3025,-16.8056,1034.7429510498048,260.7668691132083,260.7668691132083
AP,TENE049,28.2929,-16.8159,963.0470897836,257.53388696400424,257.53388696400424
AP,TENE050,28.2835,-16.8157,855.1729266877746,254.94544886737245,254.94544886737245
AP,TENE051,28.2795,-16.8171,780.9518590731049,253.7323172128223,253.7323172128223
AP,TENE052,28.2914,-16.8084,975.449917177246,258.7093382177125,258.7093382177125
AP,TENE053,28.2855,-16.803,1018.2412661849976,256.7890849379278,256.7890849379278
AP,TENE054,28.2822,-16.7974,1091.9229704404297,257.5012933883419,257.5012933883419
AP,TENE055,28.2741,-16.8051,1030.1179230483856,251.3887330618876,251.3887330618876
AP,TENE056,28.2774,-16.8006,1112.6815897417605,254.9105621420756,254.9105621420756
AP,TENE057,28.2634,-16.7268,1895.7564156729736,263.30392094882257,263.30392094882257
AP,TENE058,28.2926,-16.7414,1650.785661225403,254.74136734009292,254.74136734009292
AP,TENE059,28.2949,-16.7315,1724.25365189888,253.2514771212317,253.2514771212317
AP,TENE060,28.296,-16.7227,1748.1108205191042,254.75483395875145,254.75483395875145
AP,TENE061,28.2877,-16.7317,1785.1091456708225,255.9728393917609,255.9728393917609
AP,TENE062,28.2855,-16.724,1852.8900430282592,257.8164041343705,257.8164041343705
AP,TENE063,28.2862,-16.7476,1686.0736241965333,255.7818045608076,255.7818045608076
AP,TENE064,28.3344,-16.7581,1056.9901612406618,248.8653780777043,248.8653780777043
AP,TENE065,28.3344,-16.7441,1134.0914332731934,246.98877127936788,246.98877127936788
AP,TENE066,28.3323,-16.7401,1148.149716473404,247.9974539325736,247.9974539325736
AP,TENE067,28.3366,-16.7363,1084.1058886426392,246.2708223352912,246.2708223352912
AP,TENE068,28.3105,-16.6787,1599.402610824356,253.33481848710213,253.33481848710213
AP,TENE069,28.2386,-16.6975,2140.777639297485,278.5872401616492,278.5872401616492
AP,TENE070,28.3301,-16.7727,1128.6274165656434,248.5336341930401,248.5336341930401
AP,TENE071,28.3523,-16.7565,766.9176171876527,243.21211402828644,243.21211402828644
AP,TENE072,28.2056,-16.6834,2154.1499716643066,282.61764648334184,282.61764648334184
AP,TENE073,28.269,-16.7495,1638.618315045929,258.5753821946508,258.5753821946508
AP,TENE074,28.3065,-16.808,1024.2880143280029,262.25438176419243,262.25438176419243
AP,TENE075,28.2836,-16.8021,1032.0600982737428,257.0915187055,257.0915187055
AP,TENE076,28.2359,-16.7965,716.0978983688354,253.95984423624853,253.95984423624853
AP,TENE077,28.3275,-16.7881,1152.018736754227,252.71797475897367,252.71797475897367
