latitude,longitude,gravity,height,disturbance,terrain_effect,topo_free_disturbance
23.666666666666657,-13.666666666666686,975840.725,10000.0,55.49615711090155,28.11307866156687,27.38307844933468
23.666666666666657,-13.5,975840.725,10000.0,55.49615711090155,27.29896630891892,28.19719080198263
23.666666666666657,-13.333333333333343,975840.025,10000.0,54.796157110948116,26.03158266886638,28.764574442081734
23.666666666666657,-13.166666666666686,975834.825,10000.0,49.596157110878266,24.214695868040454,25.381461242837812
23.666666666666657,-13.0,975825.625,10000.0,40.39615711092483,22.178252147014625,18.217904963910208
23.666666666666657,-12.833333333333343,975818.025,10000.0,32.796157110948116,20.615755950682264,12.180401160265852
23.666666666666657,-12.666666666666686,975815.725,10000.0,30.49615711090155,20.363275015900268,10.132882095001282
23.666666666666657,-12.5,975816.025,10000.0,30.796157110948116,21.871828190529794,8.924328920418322
23.666666666666657,-12.333333333333343,975815.025,10000.0,29.796157110948116,22.451266686905793,7.3448904240423225
23.666666666666657,-12.166666666666686,975812.725,10000.0,27.49615711090155,22.149383083752408,5.3467740271491415
23.666666666666657,-12.0,975810.525,10000.0,25.296157110948116,21.925637999864698,3.370519111083418
23.666666666666657,-11.833333333333343,975808.025,10000.0,22.796157110948116,21.772477730399316,1.0236793805487991
23.666666666666657,-11.666666666666686,975804.925,10000.0,19.6961571109714,21.27774036119809,-1.5815832502266929
23.666666666666657,-11.5,975803.225,10000.0,17.99615711090155,20.571867539415216,-2.5757104285136663
23.666666666666657,-11.333333333333343,975804.525,10000.0,19.296157110948116,19.59948800737728,-0.3033308964291628
23.666666666666657,-11.166666666666686,975808.325,10000.0,23.096157110878266,18.476661769867526,4.61949534101074
23.666666666666657,-11.0,975812.425,10000.0,27.1961571109714,18.524142985541037,8.672014125430362
23.666666666666657,-10.833333333333343,975814.425,10000.0,29.1961571109714,18.763287777352147,10.432869333619252
23.666666666666657,-10.666666666666686,975812.225,10000.0,26.99615711090155,19.00920539169649,7.986951719205059
23.666666666666657,-10.5,975806.825,10000.0,21.596157110878266,19.433822212492988,2.1623348983852786
23.666666666666657,-10.333333333333343,975802.725,10000.0,17.49615711090155,19.529957744232355,-2.033800633330806
23.666666666666657,-10.166666666666686,975802.825,10000.0,17.596157110878266,19.241424040328532,-1.6452669294502655
23.666666666666657,-10.0,975804.025,10000.0,18.796157110948116,18.698128480747783,0.09802863020033215
23.666666666666657,-9.833333333333343,975802.025,10000.0,16.796157110948116,17.472346171030363,-0.6761890600822476
23.666666666666657,-9.666666666666686,975798.725,10000.0,13.49615711090155,16.16981039779593,-2.673653286894382
23.666666666666657,-9.5,975797.725,10000.0,12.49615711090155,9.003185900402782,3.4929712104987676
23.83333333333333,-22.5,975799.025,10000.0,2.697927499189973,-119.3820748967413,122.08000239593127
23.83333333333333,-22.333333333333343,975800.125,10000.0,3.79792749916669,-197.35771995887615,201.15564745804284
23.83333333333333,-22.166666666666686,975800.725,10000.0,4.397927499143407,-216.56397025960487,220.96189775874828
23.83333333333333,-22.0,975800.325,10000.0,3.9979274991201237,-221.7280994885583,225.72602698767844
23.83333333333333,-21.833333333333343,975799.525,10000.0,3.197927499189973,-223.25377560302354,226.45170310221351
23.83333333333333,-21.666666666666686,975799.525,10000.0,3.197927499189973,-223.0297076441139,226.22763514330387
23.83333333333333,-21.5,975798.725,10000.0,2.3979274991434067,-221.89193918907358,224.289866688217
23.83333333333333,-21.333333333333343,975795.525,10000.0,-0.8020725008100271,-219.8576752544079,219.05560275359787
23.83333333333333,-21.166666666666686,975794.725,10000.0,-1.6020725008565933,-217.0525827823394,215.45051028148282
23.83333333333333,-21.0,975803.025,10000.0,6.697927499189973,-211.46776681380365,218.16569431299362
23.83333333333333,-20.833333333333343,975816.725,10000.0,20.397927499143407,-192.44978044196085,212.84770794110426
23.83333333333333,-20.666666666666686,975822.125,10000.0,25.79792749916669,-177.0193643688711,202.81729186803778
23.83333333333333,-20.5,975813.425,10000.0,17.097927499213256,-194.69329607762216,211.79122357683542
23.83333333333333,-20.333333333333343,975801.225,10000.0,4.897927499143407,-197.73163427390944,202.62956177305284
23.83333333333333,-20.166666666666686,975797.725,10000.0,1.3979274991434067,-195.3846890396475,196.7826165387909
23.83333333333333,-20.0,975801.925,10000.0,5.597927499213256,-191.88423392332945,197.4821614225427
23.83333333333333,-19.833333333333343,975805.925,10000.0,9.597927499213256,-188.14667653123587,197.74460403044912
23.83333333333333,-19.666666666666686,975806.725,10000.0,10.397927499143407,-183.91869328203458,194.316620781178
23.83333333333333,-19.5,975806.825,10000.0,10.497927499120124,-179.89307950310533,190.39100700222545
23.83333333333333,-19.333333333333343,975807.325,10000.0,10.997927499120124,-175.5317636613791,186.52969116049923
23.83333333333333,-19.166666666666686,975807.425,10000.0,11.097927499213256,-171.01240188871597,182.11032938792923
23.83333333333333,-19.0,975807.425,10000.0,11.097927499213256,-166.09409222231062,177.19201972152388
23.83333333333333,-18.833333333333343,975807.825,10000.0,11.497927499120124,-159.66842431537586,171.16635181449598
23.83333333333333,-18.666666666666686,975808.125,10000.0,11.79792749916669,-153.39955630645812,165.1974838056248
23.83333333333333,-18.5,975807.825,10000.0,11.497927499120124,-147.62553102968474,159.12345852880486
23.83333333333333,-18.333333333333343,975807.025,10000.0,10.697927499189973,-141.89390821557163,152.5918357147616
23.83333333333333,-18.166666666666686,975805.225,10000.0,8.897927499143407,-136.27196078506063,145.16988828420403
23.83333333333333,-18.0,975802.125,10000.0,5.79792749916669,-129.9415923534378,135.7395198526045
23.83333333333333,-17.833333333333343,975799.725,10000.0,3.3979274991434067,-121.78705380717989,125.1849813063233
23.83333333333333,-17.666666666666686,975801.525,10000.0,5.197927499189973,-110.43666142098152,115.6345889201715
23.83333333333333,-17.5,975807.225,10000.0,10.897927499143407,-92.73601176780771,103.63393926695112
23.83333333333333,-17.333333333333343,975813.025,10000.0,16.697927499189973,-76.17469077544172,92.87261827463169
23.83333333333333,-17.166666666666686,975817.825,10000.0,21.497927499120124,-61.9221952136445,83.42012271276462
23.83333333333333,-17.0,975824.725,10000.0,28.397927499143407,-45.32023451249841,73.71816201164182
23.83333333333333,-16.833333333333343,975834.825,10000.0,38.497927499120124,-27.570237052904588,66.06816455202471
23.83333333333333,-16.666666666666686,975842.025,10000.0,45.69792749918997,-15.253264732781863,60.95119223197184
23.83333333333333,-16.5,975840.325,10000.0,43.997927499120124,-10.858465987871424,54.85639348699155
23.83333333333333,-16.333333333333343,975831.225,10000.0,34.89792749914341,-8.491135137760985,43.38906263690439
23.83333333333333,-16.166666666666686,975821.725,10000.0,25.397927499143407,-6.7880396106998555,32.18596710984326
23.83333333333333,-16.0,975815.425,10000.0,19.097927499213256,-5.180032591231966,24.277960090445223
23.83333333333333,-15.833333333333343,975811.525,10000.0,15.197927499189973,-3.091161727623038,18.28908922681301
23.83333333333333,-15.666666666666686,975810.425,10000.0,14.097927499213256,0.2776176498293112,13.820309849383944
23.83333333333333,-15.5,975814.425,10000.0,18.097927499213256,3.606246103557107,14.49168139565615
23.83333333333333,-15.333333333333343,975823.925,10000.0,27.597927499213256,6.999334531154293,20.598592968058963
23.83333333333333,-15.166666666666686,975837.025,10000.0,40.69792749918997,11.32575152312973,29.37217597606024
23.83333333333333,-15.0,975851.625,10000.0,55.29792749916669,15.258970460346118,40.03895703882057
23.83333333333333,-14.833333333333343,975866.225,10000.0,69.8979274991434,17.612468329252305,52.2854591698911
23.83333333333333,-14.666666666666686,975877.525,10000.0,81.19792749918997,18.824960945427208,62.372966553762765
23.83333333333333,-14.5,975881.525,10000.0,85.19792749918997,19.05034987930355,66.14757761988642
23.83333333333333,-14.333333333333343,975878.225,10000.0,81.8979274991434,21.305922247254845,60.592005251888565
23.83333333333333,-14.166666666666686,975871.225,10000.0,74.8979274991434,24.536371127480837,50.36155637166257
23.83333333333333,-14.0,975864.225,10000.0,67.8979274991434,26.972211592945893,40.92571590619751
23.83333333333333,-13.833333333333343,975857.525,10000.0,61.19792749918997,27.93572131338657,33.26220618580341
23.83333333333333,-13.666666666666686,975851.525,10000.0,55.19792749918997,27.59268650979086,27.605240989399114
23.83333333333333,-13.5,975847.925,10000.0,51.597927499213256,26.911936124575195,24.68599137463806
23.83333333333333,-13.333333333333343,975846.125,10000.0,49.79792749916669,26.019028510894408,23.77889898827228
23.83333333333333,-13.166666666666686,975842.425,10000.0,46.097927499213256,25.320766203948917,20.77716129526434
23.83333333333333,-13.0,975835.225,10000.0,38.89792749914341,23.33336123429065,15.564566264852758
23.83333333333333,-12.833333333333343,975828.725,10000.0,32.39792749914341,21.341436966303718,11.056490532839689
23.83333333333333,-12.666666666666686,975825.925,10000.0,29.597927499213256,20.967154046503424,8.630773452709832
23.83333333333333,-12.5,975825.225,10000.0,28.897927499143407,22.136451168415988,6.761476330727419
23.83333333333333,-12.333333333333343,975823.825,10000.0,27.497927499120124,22.554634816192035,4.943292682928089
23.83333333333333,-12.166666666666686,975822.225,10000.0,25.897927499143407,22.353400940183246,3.544526558960161
23.83333333333333,-12.0,975821.725,10000.0,25.397927499143407,22.14157902661548,3.2563484725279253
