,Unnamed: 0,Station ID,E(m),N(m),longitude,latitude,height_geoid,obsG,BO(mGal),Error(mGal),height_ell,gamma,G_disturbance,terrain_effect,topo_free_disturbance
87,87,TENE088,333173.0,3135791.7,-16.7019,28.3377,895.1,979223.8,231.855,0.021,942.3840574184266,978906.1474108403,317.65258915978484,71.33449187878617,246.31809728099867
88,88,TENE089,333381.2,3124787.91,-16.6982,28.2385,2088.0,978991.725,258.832,0.025,2136.073199356079,978530.4682448618,461.2567551381653,182.54978913709027,278.70696600107505
89,89,TENE090,334718.54,3135382.1,-16.6861,28.3342,957.0,979208.793,230.788,0.018,1004.421206638733,978886.742431707,322.0505682929652,75.4083103844732,246.64225790849198
90,90,TENE091,335292.85,3122077.03,-16.6784,28.2143,2038.2,979005.565,262.929,0.055,2086.2494189300537,978544.0112566572,461.55374334275257,178.88690687540523,282.66683646734737
91,91,TENE092,336463.3,3119311.29,-16.6661,28.1894,2093.0,978984.776,259.178,0.01,2140.843603066437,978525.3027628446,459.4732371553546,180.4863707799828,278.9868663753718
92,92,TENE093,336634.22,3112150.79,-16.6633,28.1249,1121.8,979174.648,243.855,0.038,1168.521877494812,978820.3608574576,354.2871425424237,95.03185655636273,259.2552859860609
93,93,TENE094,337892.8,3113163.17,-16.6507,28.1341,1222.8,979155.687,244.181,0.037,1269.7343382339477,978789.8271101834,365.8598898166092,105.75822450381575,260.10166531279344
94,94,TENE095,337355.13,3112637.43,-16.6561,28.1293,1198.9,979158.606,243.156,0.037,1245.7255578536988,978796.8733617369,361.7326382631436,102.82579330589326,258.9068449572503
95,95,TENE096,338622.2,3109998.16,-16.6428,28.1057,777.0,979241.134,238.796,0.038,823.3013191680908,978925.4331883187,315.70081168122124,63.190115743301206,252.51069593792005
96,96,TENE097,338103.45,3110657.93,-16.6482,28.1116,849.6,979229.406,242.542,0.037,896.0423183441162,978903.4312060501,325.97479394986294,69.26498748695153,256.7098064629114
97,97,TENE098,337052.78,3110856.18,-16.6589,28.1132,933.0,979211.422,243.435,0.038,979.470277885437,978877.8099279506,333.6120720494073,75.78232348132273,257.82974856808454
98,98,TENE099,337595.94,3114016.12,-16.6538,28.1418,1258.3,979151.614,246.849,0.038,1305.383078994751,978779.4079475536,372.20605244638864,109.18042480215612,263.0256276442325
99,99,TENE100,338483.89,3114299.96,-16.6448,28.1445,1318.2,979137.993,246.052,0.038,1365.3348592529296,978761.1163384276,376.87666157237254,114.41648972778331,262.46017184458924
100,100,TENE101,338832.96,3115197.34,-16.6414,28.1526,1380.7,979126.71,247.88,0.035,1427.9849196185912,978742.3985939503,384.3114060496446,119.59669150838894,264.7147145412556
101,101,TENE102,342713.42,3110403.49,-16.6012,28.1098,625.4,979265.376,229.756,0.009,671.6440398406982,978972.5383327339,292.83766726613976,49.89442386391082,242.94324340222894
102,102,TENE103,343172.31,3109730.31,-16.5964,28.1038,535.9,979280.377,226.043,0.009,581.9801076850586,978999.7575666286,280.61943337135017,41.79091749166541,238.82851587968474
103,103,TENE104,342322.74,3111251.98,-16.6053,28.1174,754.0,979240.995,231.843,0.01,800.4341593209228,978933.3673160836,307.627683916362,61.70423706433262,245.92344685202937
104,104,TENE105,343910.14,3111297.61,-16.5892,28.118,754.7,979234.649,225.517,0.01,801.0402399597168,978933.2253394065,301.4236605934566,61.85298950986003,239.57067108359655
105,105,TENE106,348557.79,3106983.49,-16.5413,28.0796,184.6,979338.922,212.361,0.01,229.690717684082,979106.6669099013,232.25509009871166,8.858959462445632,223.39613063626604
106,106,TENE107,347597.21,3108807.56,-16.5513,28.096,285.3,979323.141,216.134,0.009,330.838105640564,979076.6787632036,246.46223679638933,18.820255132875545,227.64198166351377
107,107,TENE108,348235.28,3110455.04,-16.545,28.1109,343.8,979313.432,217.633,0.008,389.5839756759644,979059.666084207,253.76591579301748,24.219631829351936,229.54628396366556
108,108,TENE109,348603.19,3112192.42,-16.5415,28.1266,450.2,979294.429,220.004,0.008,496.2597786026001,979027.922544751,266.50645524903666,33.951427989575706,232.55502725946096
109,109,TENE110,343517.7,3113439.37,-16.5934,28.1373,939.6,979204.74,233.758,0.009,986.3700760411988,978877.4904892294,327.2495107705472,78.61204107179177,248.63746969875544
110,110,TENE111,339609.93,3116585.44,-16.6336,28.1652,1594.0,979082.262,251.141,0.009,1641.4948003288573,978677.4863118142,404.7756881858222,135.51151656718315,269.26417161863907
111,111,TENE112,338502.66,3117931.39,-16.6451,28.1772,1744.7,979058.481,259.005,0.009,1792.393975855896,978631.8460628155,426.63493718451355,149.29246113732503,277.3424760471885
112,112,TENE113,341735.14,3104568.42,-16.6104,28.0571,148.1,979355.349,223.107,0.018,193.1420988082885,979116.260780835,239.0882191651035,5.2953284550931325,233.79289071001037
113,113,TENE114,340579.42,3105188.84,-16.6222,28.0625,231.8,979340.509,225.502,0.018,277.0107795791626,979090.7796278492,249.72937215073034,13.094689920090952,236.63468223063938
114,114,TENE115,341142.71,3106595.41,-16.6167,28.0753,293.5,979332.063,228.807,0.018,339.01246951811214,979072.6032589015,259.459741098457,19.15440047550099,240.30534062295604
115,115,TENE116,342084.09,3107915.01,-16.6073,28.0873,404.2,979308.217,227.222,0.027,449.9631844379119,979039.2610628323,268.9559371676296,29.739459344663047,239.21647782296657
116,116,TENE117,340137.24,3108071.65,-16.6271,28.0885,525.7,979287.175,232.464,0.018,571.565299079895,979001.8236661158,285.3513338842895,40.03216646951081,245.3191674147787
117,117,TENE118,338981.45,3108291.08,-16.6389,28.0903,593.6,979278.367,237.941,0.018,639.5319355585174,978980.9845659585,297.38243404147215,46.561565482994496,250.82086855847766
118,118,TENE119,337932.21,3108320.78,-16.6496,28.0905,437.8,979313.858,241.275,0.018,483.7459571582031,979029.0752465957,284.7827534043463,31.395149828275965,253.38760357607032
119,119,TENE120,338899.56,3107100.85,-16.6396,28.0796,558.5,979278.571,234.664,0.019,604.1705216335449,978991.0942504328,287.47674956719857,40.308737146495936,247.16801242070264
120,120,TENE121,337395.8,3109130.42,-16.6552,28.0977,476.0,979308.917,244.193,0.019,522.1171801834106,979017.7736870849,291.1433129151119,34.6451073354017,256.4982055797102
121,121,TENE122,338543.39,3109111.53,-16.6435,28.0977,545.2,979290.838,241.816,0.019,591.31615825737,978996.4187809108,294.4192190892063,39.86207558062134,254.55714350858497
122,122,TENE123,339010.25,3109334.64,-16.6388,28.0997,678.0,979263.131,239.607,0.019,724.1593009400024,978955.575202637,307.55579736304935,54.64671432190272,252.90908304114663
123,123,TENE124,338565.35,3111898.43,-16.6436,28.1228,1088.3,979180.185,242.05,0.019,1134.9847976074218,978830.549883216,349.63511678401846,92.3191145468918,257.31600223712667
124,124,TENE125,335118.16,3107377.37,-16.6781,28.0816,354.7,979330.821,241.105,0.006,400.3720203170776,979054.1383958439,276.6826041560853,23.982578576199565,252.70002557988573
