,Unnamed: 0,Island,Station ID,latitude,longitude,height_geoid,height_ell,Precision,obsG,gamma,G_disturbance,terrain_effect,topo_free_disturbance
34,34,Tenerife,934012,28.476388888888888,-16.31361111111111,511.7489,556.6297,,979304.25,979035.6610293712,268.58897062879987,40.88359565633233,227.70537497246755
35,35,Tenerife,934013,28.476388888888888,-16.31361111111111,512.3449,557.2257,,979304.24,979035.4771043658,268.76289563416503,40.99625934117493,227.7666362929901
36,36,Tenerife,934014,28.479444444444443,-16.316666666666666,534.1926,579.0859,,979301.65,979028.9623862396,272.6876137604704,43.34252467346671,229.34508908700371
37,37,Tenerife,938001,28.31833333333333,-16.411666666666665,306.9122,353.2501,,979339.9,979086.4854773368,253.4145226632245,18.23968982553647,235.17483283768803
38,38,Tenerife,938002,28.32472222222222,-16.410833333333333,338.1419,384.4738,0.05,979334.23,979077.3308384615,256.89916153845843,21.622489116061683,235.27667242239676
39,39,Tenerife,938003,28.33055555555556,-16.413055555555555,369.0411,415.4142,0.05,979328.68,979068.2219380487,260.458061951329,24.04984651683654,236.40821543449246
40,40,Tenerife,938004,28.335833333333333,-16.415555555555553,417.6535,464.0655,0.05,979319.39,979053.6054802659,265.7845197340939,27.76442226678301,238.0200974673109
41,41,Tenerife,938005,28.342222222222222,-16.416666666666668,439.9528,486.3775,0.05,979314.85,979047.2017814956,267.648218504386,29.60184513378656,238.04637337059947
42,42,Tenerife,938007,28.34472222222222,-16.41861111111111,464.2596,510.7095,0.05,979310.41,979039.8813700438,270.5286299561849,31.36501113190113,239.16361882428376
43,43,Tenerife,938008,28.348888888888887,-16.418055555555558,506.0638,552.503,0.05,979300.76,979027.2981850546,273.46181494544726,35.040183509670264,238.421631435777
44,44,Tenerife,938009,28.35277777777777,-16.413888888888888,540.1458,586.5216,0.05,979292.2,979017.093615404,275.1063845959725,38.86400373420401,236.24238086176848
45,45,Tenerife,938010,28.35777777777778,-16.412777777777777,589.6318,635.9827,0.05,979280.91,979002.2077201005,278.7022798995022,43.19870249320992,235.50357740629227
46,46,Tenerife,938011,28.35611111111111,-16.41777777777778,641.2678,687.6871,0.05,979271.01,978986.1267357324,284.8832642675843,47.76876219555427,237.11450207203004
47,47,Tenerife,938013,28.354166666666668,-16.424166666666668,687.6762,734.1818,,979262.4,978971.6327530802,290.7672469198005,51.41375812182195,239.35348879797857
