,Unnamed: 0,Station Name,latitude,longitude,height,obsG,SD,Survey Date,gamma,G_disturbance,terrain_effect,topo_free_disturbance
25,25,FA13,28.25831285,-16.48456398,1390.7771,979116.89495,0.12636,2024/05/09,978761.8284244186,355.06652558152564,112.27257488880048,242.79395069272516
26,26,FA14,28.26941109,-16.48100402,1433.6225,979111.98854,0.11579,2024/05/09,978749.4476178096,362.54092219029553,116.49698410782786,246.04393808246766
27,27,FA15,28.25244423,-16.45984004,923.4725,979209.52438,0.14981,2024/05/09,978905.5561586791,303.9682213208871,70.47726294740202,233.49095837348506
28,28,GUI00,28.30673864,-16.4364392,689.5296,979269.45256,0.29817,2024/05/06,978981.8335703284,287.6189896714641,44.52382071479853,243.09516895666553
29,29,GUI01,28.32058094,-16.43988985,834.8216,979240.87399,0.2842099999999999,2024/05/06,978938.0446054224,302.829384577577,58.38178888497247,244.44759569260452
30,30,GUI02,28.31643457,-16.45811942,1376.7636,979126.58401,0.25089,2024/05/06,978770.5317445581,356.0522654418601,106.69524704276648,249.3570183990936
31,31,GUI03,28.31872341,-16.4477863,1068.7221,979191.51073,0.25898,2024/05/06,978865.7362160261,325.7745139738545,79.12595387693658,246.6485600969179
32,32,GUI04,28.34209186,-16.45900712,1496.8793,979107.69521,0.2344,2024/05/06,978735.4149665616,372.2802434384357,118.57830621274748,253.70193722568825
33,33,GUI05,28.33991031,-16.45188898,1331.5884,979140.15958,0.23388,2024/05/06,978786.2385343728,353.92104562732857,103.68563958941569,250.23540603791287
34,34,GUI06,28.33286698,-16.45398799,1209.9278,979166.69351,0.23325,2024/05/06,978823.2389529562,343.4545570438495,91.7322504133512,251.72230663049828
35,35,GUI07,28.45425389,-16.32689807,625.4108,979282.02627,0.2625699999999999,2024/05/08,979012.7606143783,269.26565562176984,47.12997172326881,222.13568389850104
36,36,GUI08,28.43513265,-16.34008908,667.7622,979272.20162,0.25283,2024/05/08,978998.2453147955,273.956305204425,50.32590639471992,223.63039880970507
