,Unnamed: 0,latitude,longitude,Easting,Northing,Elevation,Gravity,Param_5,Param_6,Relative_Error,Flag,Gravity_mGal,topo_free_disturbance,height_ell,Station ID
144,144,28.29067792,-16.6822781,335027,3130551,1984.38,26328,20,8727,2.2,0,26.328,41.14337054637213,2032.388,GRA_144
145,145,28.29264148,-16.67892396,335359,3130764,1912.43,25959,20,8787,2.2,0,25.959,40.77326424833511,1960.435,GRA_145
146,146,28.30132299,-16.67968225,335298,3131727,1690.31,23450,20,7297,2.2,0,23.45,38.23750814796747,1738.228,GRA_146
147,147,28.30895701,-16.66798336,336457,3132557,1528.08,20949,20,7227,2.2,0,20.949,35.722047827491394,1575.951,GRA_147
148,148,28.31341618,-16.66050651,337197,3133041,1513.53,19884,20,7091,2.2,0,19.884,34.64724961654429,1561.369,GRA_148
149,149,28.31580873,-16.650009,338230,3133292,1525.85,18448,20,7154,2.2,0,18.448,33.21166500784859,1573.691,GRA_149
150,150,28.31778912,-16.6361902,339588,3133493,1619.53,17951,20,7318,2.2,0,17.951,32.71892646912257,1667.385,GRA_150
151,151,28.32016919,-16.62809834,340385,3133746,1645.46,17239,20,7103,2.2,0,17.239,32.002635051756286,1693.301,GRA_151
152,152,28.32520249,-16.61997494,341189,3134293,1601.61,16006,20,6983,2.2,0,16.006,30.75341585456293,1649.398,GRA_152
153,153,28.3151943,-16.60619841,342525,3133166,1994.8,19168,20,8043,2.2,0,19.168,33.96499676976978,2042.749,GRA_153
154,154,28.32217394,-16.60897543,342263,3133943,1828.21,17362,20,7649,2.2,0,17.362,32.128956993789274,1876.061,GRA_154
155,155,28.23691421,-16.69712721,333487,3124614,2083.82,47598,20,6666,2.2,0,47.598,62.43420114255253,2131.896,GRA_155
156,156,28.23937418,-16.69961192,333247,3124890,2088.61,45977,20,6808,2.2,0,45.977,60.81042251759944,2136.677,GRA_156
157,157,28.24123921,-16.70203635,333012,3125100,2086.41,44454,20,6993,2.2,0,44.454,59.2829854470564,2134.462,GRA_157
158,158,28.24386645,-16.70412649,332811,3125394,2065.42,42759,20,6945,2.2,0,42.759,57.584817180337694,2113.462,GRA_158
