Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,943016,28.253055555555555,-16.76722222222222,1254.9382,1302225,0.05,979155.64
Tenerife,943017,28.260555555555555,-16.77,1303.3414,1350978,0.05,979145.88
Tenerife,943018,28.269444444444442,-16.76888888888889,1362.9634,1409,no encontrada,979134.09
Tenerife,943019,28.278055555555554,-16.7675,1422.2699,1470798,0.05,979018.43
Tenerife,943020,28.284444444444446,-16.763333333333332,1458.3231,1506841,0.05,979011.51
Tenerife,943022,28.279722222222222,-16.758333333333333,1503.7778,1555,no encontrada,979000.83
Tenerife,943023,28.272777777777776,-16.754444444444445,1550.5447,1597888,0.05,978989.96
Tenerife,943025,28.26527777777778,-16.7425,1639.2381,1686720,0.05,978973.8
Tenerife,943026,28.26388888888889,-16.737222222222222,1690.1909,1736553,0.05,978963.39
Tenerife,943027,28.272222222222222,-16.73638888888889,1735.4421,1782981,0.05,978952.24
Tenerife,943029,28.275555555555556,-16.729444444444443,1795.695,1843272,0.05,978939.66
Tenerife,943030,28.2675,-16.728055555555553,1860.4976,1908440,0.05,979024.72
Tenerife,943031,28.261666666666667,-16.721666666666664,1911.6315,1959473,0.05,979017.32
Tenerife,943032,28.255,-16.71472222222222,1969.1578,2017114,0.05,979007.59
Tenerife,943033,28.249444444444446,-16.708055555555553,2020.7492,2068802,0.05,978999.71
Tenerife,943034,28.241944444444446,-16.702777777777776,2080.6982,2128723,0.05,978989.59
Tenerife,943036,28.235555555555557,-16.69611111111111,2084.6434,2132710,0.05,978993.37
Tenerife,943037,28.22833333333333,-16.690277777777776,2088.2449,2136358,0.05,978995.04
Tenerife,943038,28.22111111111111,-16.684444444444445,2060.69,2108799,0.05,979001.06
Tenerife,944002,28.36777777777778,-16.733888888888888,363.5657,410087,0.05,979329.67
Tenerife,944003,28.36416666666667,-16.72861111111111,412.6208,459255,0.05,979320.22
Tenerife,944004,28.363333333333333,-16.735,470.3764,516923,0.05,979309.07
Tenerife,944005,28.359444444444446,-16.73222222222222,540.25,586881,0.05,979295.04
Tenerife,944006,28.357222222222223,-16.732499999999998,593.6845,642296,0.05,979283.73
Tenerife,944008,28.355833333333333,-16.731666666666666,642.2131,688968,0.05,979273.94
Tenerife,944009,28.35527777777778,-16.7375,661.0458,707744,0.05,979270.38
Tenerife,944010,28.353611111111114,-16.742222222222225,708.6132,755387,0.05,979260.95
Tenerife,944011,28.349444444444444,-16.747777777777777,791.0493,837856,0.05,979245.57
Tenerife,944012,28.345555555555553,-16.751944444444444,851.5275,898355,0.05,979234.19
Tenerife,944013,28.340833333333332,-16.755277777777778,922.926,969800,0.05,979220.24
Tenerife,944015,28.335833333333333,-16.75888888888889,983.6342,1030,no encontrada,979208.24
Tenerife,944016,28.33277777777778,-16.75638888888889,1037.9027,1086649,0.05,979196.66
Tenerife,944017,28.33138888888889,-16.765833333333333,1057.0431,1104022,0.05,979193.08
Tenerife,944018,28.330277777777777,-16.775555555555556,1071.0409,1117928,0.05,979191.77
Tenerife,944020,28.33,-16.785833333333336,1071.3737,no encontrada,no encontrada,979193.24
Tenerife,944021,28.325,-16.793333333333337,1122.1484,1168893,0.05,979184.74
Tenerife,944022,28.31833333333333,-16.796944444444446,1133.7563,1180611,0.05,979186.5
Tenerife,945001,28.375833333333333,-16.586666666666666,383.035,429945,0.05,979328.22
Tenerife,945002,28.375833333333333,-16.59111111111111,420.5004,467437,0.05,979318.5
Tenerife,945003,28.373333333333335,-16.589166666666664,468.6877,515655,0.05,979308.42
Tenerife,945004,28.37361111111111,-16.594166666666666,522.2105,569161,0.05,979295.02
Tenerife,945006,28.378333333333334,-16.59638888888889,508.1089,554953,0.05,979295.9
Tenerife,945007,28.383055555555558,-16.602777777777778,521.0719,567799,0.05,979290.18
Tenerife,945008,28.384444444444444,-16.604166666666668,572.9144,619609,0.05,979277.07
Tenerife,945009,28.38,-16.604166666666668,673.6211,720400,0.05,979258.95
Tenerife,945010,28.37638888888889,-16.604444444444447,756.9365,803780,0.05,979242.59
Tenerife,945011,28.378888888888888,-16.609444444444446,704.0221,750840,0.05,979253.96
Tenerife,945012,28.37611111111111,-16.610555555555557,757.394,804265,0.05,979243.2
Tenerife,945014,28.37027777777778,-16.6125,849.8487,896886,0.05,979224.75
Tenerife,945015,28.364722222222223,-16.61777777777778,893.7957,941018,0.05,979216.09
Tenerife,945016,28.361944444444447,-16.62361111111111,887.5839,934834,0.05,979219.16
Tenerife,945017,28.361666666666668,-16.630277777777778,889.375,936569,0.05,979219.87
Tenerife,945019,28.36388888888889,-16.638333333333332,831.3365,877,no encontrada,979230.03
Tenerife,945020,28.372222222222224,-16.653888888888886,786.4472,565,no encontrada,979242.81
Tenerife,945021,28.363611111111112,-16.6525,742.3142,789362,0.05,979251.19
Tenerife,945022,28.360833333333336,-16.65861111111111,713.67,762977,0.05,979258.6
Tenerife,945023,28.364444444444445,-16.66111111111111,644.3351,692,no encontrada,979272.08
Tenerife,945024,28.36916666666667,-16.65833333333333,579.2254,626132,0.05,979283.94
Tenerife,945026,28.372222222222224,-16.653888888888886,514.5657,566,no encontrada,979298.38
Tenerife,945027,28.375,-16.6575,462.2838,510671,0.05,979307.8
Tenerife,945028,28.375555555555557,-16.66333333333333,422.0304,468826,0.05,979316.59
Tenerife,945029,28.375,-16.66861111111111,394.4551,442357,0.05,979323.25
Tenerife,945031,28.375555555555557,-16.672222222222224,353.2834,399835,0.05,979332.12
Tenerife,945032,28.374444444444446,-16.678611111111113,331.0587,374602,0.05,979336.87
Tenerife,945033,28.377222222222223,-16.684444444444445,277.7031,324352,0.05,979348.22
Tenerife,946001,28.380277777777778,-16.584166666666665,341.1426,394,no encontrada,979338.54
Tenerife,946002,28.384999999999998,-16.584166666666665,279.3562,326070,0.05,979351.3
Tenerife,946003,28.388333333333332,-16.584166666666665,234.408,281061,0.05,979360.75
Tenerife,946004,28.391111111111112,-16.578611111111112,219.562,266149,0.05,979364.47
Tenerife,947001,28.310555555555556,-16.57,1992.3013,2040211,0.05,978993.91
Tenerife,947002,28.31222222222222,-16.56888888888889,1948.6405,1996510,0.05,979003.62
Tenerife,947003,28.314444444444444,-16.575277777777778,1903.9744,1951869,0.05,979013.26
Tenerife,947004,28.316666666666666,-16.57,1854.1841,1902050,0.05,979023.73
Tenerife,947006,28.316944444444445,-16.561944444444446,1804.0236,1851841,0.05,979035.47
Tenerife,947007,28.31972222222222,-16.55611111111111,1752.1928,1799974,0.05,979045.72
Tenerife,947008,28.321944444444444,-16.548333333333336,1709.8072,1757534,0.05,979054.23
Tenerife,947009,28.32138888888889,-16.54138888888889,1667.3432,1715101,0.05,979064.39
Tenerife,947010,28.32472222222222,-16.535555555555558,1618.4816,1666810,0.05,979076.03
Tenerife,947011,28.33222222222222,-16.531388888888888,1558.8206,no encontrada,no encontrada,979088.58
Tenerife,947013,28.338055555555556,-16.52722222222222,1508.4006,1556114,0.05,979099.04
Tenerife,947014,28.342222222222222,-16.522222222222222,1463.6732,1510336,0.05,979108.55
Tenerife,947015,28.34722222222222,-16.51527777777778,1399.0824,1446737,0.05,979122.92
Tenerife,947017,28.348055555555554,-16.519444444444442,1351.2265,no encontrada,no encontrada,979132.52
Tenerife,947018,28.34861111111111,-16.523055555555555,1305.782,1353007,0.05,979142.39
Tenerife,947019,28.35138888888889,-16.521944444444443,1245.3138,1292638,0.05,979155.29
Tenerife,947020,28.35527777777778,-16.514722222222222,1192.9268,1241908,0.05,979167.31
Tenerife,947021,28.357222222222223,-16.50638888888889,1144.0974,1191295,0.05,979178.95
Tenerife,947022,28.360833333333336,-16.49888888888889,1088.4835,1135614,0.05,979190.19
Tenerife,947024,28.363333333333333,-16.499722222222225,1033.4041,1080475,0.05,979201.98
Tenerife,947025,28.365555555555556,-16.506666666666668,984.2168,1031275,0.05,979211.62
Tenerife,947026,28.365000000000002,-16.514444444444443,927.4284,974536,0.05,979222.75
Tenerife,947027,28.366388888888892,-16.52138888888889,875.9419,923036,0.05,979232.06
